elenco_id,video_owner,giocatore,punti_totali,punteggi_singole_gare,num_gare,titolo,video_id,link,upload_date,da_verificare
1,Just Rohn JR,PAR,58,"2,3,3,4,3,3,3,5,4,4,5,5,5,4,5",15,"MINI-GOLF NATALIZIO con ROHN,DREAD,GABBO e DELUX!",St2VvfXHwpE,https://www.youtube.com/watch?v=St2VvfXHwpE,20251215,
1,Just Rohn JR,nonsonodread,45,"2,3,2,3,2,3,3,2,3,5,5,2,2,5,3",15,"MINI-GOLF NATALIZIO con ROHN,DREAD,GABBO e DELUX!",St2VvfXHwpE,https://www.youtube.com/watch?v=St2VvfXHwpE,20251215,
1,Just Rohn JR,Delux,48,"2,2,10,3,3,1,3,4,2,4,3,3,3,1,4",15,"MINI-GOLF NATALIZIO con ROHN,DREAD,GABBO e DELUX!",St2VvfXHwpE,https://www.youtube.com/watch?v=St2VvfXHwpE,20251215,
1,Just Rohn JR,Just Rohn,49,"2,3,2,3,2,4,3,9,3,4,3,2,5,1,3",15,"MINI-GOLF NATALIZIO con ROHN,DREAD,GABBO e DELUX!",St2VvfXHwpE,https://www.youtube.com/watch?v=St2VvfXHwpE,20251215,
1,Just Rohn JR,GaBBo,50,"5,3,3,2,2,5,3,2,5,3,8,1,2,2,4",15,"MINI-GOLF NATALIZIO con ROHN,DREAD,GABBO e DELUX!",St2VvfXHwpE,https://www.youtube.com/watch?v=St2VvfXHwpE,20251215,
2,GaBBoDSQ,PAR,30,"2,3,4,3,3,3,3,3,3,3",10,La SDROGO GOLFATINA di cui NON avevate bisogno,5S6Dq7LAFNA,https://www.youtube.com/watch?v=5S6Dq7LAFNA,20251217,
2,GaBBoDSQ,JTaz,37,"4,6,3,3,3,2,2,2,7,5",10,La SDROGO GOLFATINA di cui NON avevate bisogno,5S6Dq7LAFNA,https://www.youtube.com/watch?v=5S6Dq7LAFNA,20251217,
2,GaBBoDSQ,Delux,37,"2,4,5,5,2,3,4,4,6,2",10,La SDROGO GOLFATINA di cui NON avevate bisogno,5S6Dq7LAFNA,https://www.youtube.com/watch?v=5S6Dq7LAFNA,20251217,
2,GaBBoDSQ,GaBBo,41,"3,3,3,6,6,2,7,6,2,3",10,La SDROGO GOLFATINA di cui NON avevate bisogno,5S6Dq7LAFNA,https://www.youtube.com/watch?v=5S6Dq7LAFNA,20251217,
2,GaBBoDSQ,nonsonodread,43,"2,6,7,5,4,1,3,4,5,6",10,La SDROGO GOLFATINA di cui NON avevate bisogno,5S6Dq7LAFNA,https://www.youtube.com/watch?v=5S6Dq7LAFNA,20251217,
2,GaBBoDSQ,ilMasseo,44,"2,4,8,4,5,2,3,9,3,4",10,La SDROGO GOLFATINA di cui NON avevate bisogno,5S6Dq7LAFNA,https://www.youtube.com/watch?v=5S6Dq7LAFNA,20251217,
