elenco_id,video_owner,giocatore,punti_totali,punteggi_singole_gare,num_gare,titolo,video_id,link,upload_date,track,car
1,Rohn,Rohn,65,"25,15,25",3,"LE NUOVE SDROGO CORSE su iRACING ARCADE! w/ROHN, DREAD, GABBO e MOLLU 🏎️",eQWQME14,https://www.youtube.com/watch?v=eQWQME14-uk&list=PLAd2mrCj0qqA&index=3,2026-03-24,"Imola, Bahrain, Messico","Fiat 500,Porsche 911 GT3, Formula GP"
1,Rohn,Gabbo,58,"15,25,18",3,"LE NUOVE SDROGO CORSE su iRACING ARCADE! w/ROHN, DREAD, GABBO e MOLLU 🏎️",eQWQME14,https://www.youtube.com/watch?v=eQWQME14-uk&list=PLAd2mrCj0qqA&index=3,2026-03-24,"Imola, Bahrain, Messico","Fiat 500,Porsche 911 GT3, Formula GP"
1,Rohn,Dread,45,"12,18,15",3,"LE NUOVE SDROGO CORSE su iRACING ARCADE! w/ROHN, DREAD, GABBO e MOLLU 🏎️",eQWQME14,https://www.youtube.com/watch?v=eQWQME14-uk&list=PLAd2mrCj0qqA&index=3,2026-03-24,"Imola, Bahrain, Messico","Fiat 500,Porsche 911 GT3, Formula GP"
1,Rohn,Mollu,42,"18,12,12",3,"LE NUOVE SDROGO CORSE su iRACING ARCADE! w/ROHN, DREAD, GABBO e MOLLU 🏎️",eQWQME14,https://www.youtube.com/watch?v=eQWQME14-uk&list=PLAd2mrCj0qqA&index=3,2026-03-24,"Imola, Bahrain, Messico","Fiat 500,Porsche 911 GT3, Formula GP"
2,Rohn,Rohn,68,"25,25,18",3,"FINISCE LA BENZINA SUL TRAGUARDO! - "SDROGO CORSE" FOLLI su iRACING ARCADE 🏎️",MPgvRO7i5m0,https://www.youtube.com/watch?v=MPgvRO7i5m0&list=PLAd2mrCj0qqA&index=1,2026-04-02,"Aragon, Miami, Sachsering","Touring Car, Formula 4, GTP"
2,Rohn,Mollu,61,"18,18,25",3,"FINISCE LA BENZINA SUL TRAGUARDO! - "SDROGO CORSE" FOLLI su iRACING ARCADE 🏎️",MPgvRO7i5m0,https://www.youtube.com/watch?v=MPgvRO7i5m0&list=PLAd2mrCj0qqA&index=1,2026-04-02,"Aragon, Miami, Sachsering","Touring Car, Formula 4, GTP"
2,Rohn,Gabbo,42,"12,15,15",3,"FINISCE LA BENZINA SUL TRAGUARDO! - "SDROGO CORSE" FOLLI su iRACING ARCADE 🏎️",MPgvRO7i5m0,https://www.youtube.com/watch?v=MPgvRO7i5m0&list=PLAd2mrCj0qqA&index=1,2026-04-02,"Aragon, Miami, Sachsering","Touring Car, Formula 4, GTP"
2,Rohn,Dread,39,"15,12,12,",3,"FINISCE LA BENZINA SUL TRAGUARDO! - "SDROGO CORSE" FOLLI su iRACING ARCADE 🏎️",MPgvRO7i5m0,https://www.youtube.com/watch?v=MPgvRO7i5m0&list=PLAd2mrCj0qqA&index=1,2026-04-02,"Aragon, Miami, Sachsering","Touring Car, Formula 4, GTP"
2,Rohn,Delux,30,"10,10,10",3,"FINISCE LA BENZINA SUL TRAGUARDO! - "SDROGO CORSE" FOLLI su iRACING ARCADE 🏎️",MPgvRO7i5m0,https://www.youtube.com/watch?v=MPgvRO7i5m0&list=PLAd2mrCj0qqA&index=1,2026-04-02,"Aragon, Miami, Sachsering","Touring Car, Formula 4, GTP"
3,Masseo,Rohn,93,"25,18,25,25",4,"IN QUESTE GHSBR CORSE, SONO VERAMENTE SCARSO: iRacing Arcade 🏎️ [ilMasseo]",G4NhBc5NDLI,https://www.youtube.com/watch?v=G4NhBc5NDLI&list=PLAd2mrCj0qqA&index=1,2026-04-20,"Circuit Paul Ricard, Lime Rock, Sugar Hill, Miami","GTP, Formula GP, Formula GP, Formula GP"
3,Masseo,Gabbo,67,"15,25,15,12",4,"IN QUESTE GHSBR CORSE, SONO VERAMENTE SCARSO: iRacing Arcade 🏎️ [ilMasseo]",G4NhBc5NDLI,https://www.youtube.com/watch?v=G4NhBc5NDLI&list=PLAd2mrCj0qqA&index=1,2026-04-20,"Circuit Paul Ricard, Lime Rock, Sugar Hill, Miami","GTP, Formula GP, Formula GP, Formula GP"
3,Masseo,Dread,60,"12,12,18,18",4,"IN QUESTE GHSBR CORSE, SONO VERAMENTE SCARSO: iRacing Arcade 🏎️ [ilMasseo]",G4NhBc5NDLI,https://www.youtube.com/watch?v=G4NhBc5NDLI&list=PLAd2mrCj0qqA&index=1,2026-04-20,"Circuit Paul Ricard, Lime Rock, Sugar Hill, Miami","GTP, Formula GP, Formula GP, Formula GP"
3,Masseo,Masseo,45,"10,10,10,15",4,"IN QUESTE GHSBR CORSE, SONO VERAMENTE SCARSO: iRacing Arcade 🏎️ [ilMasseo]",G4NhBc5NDLI,https://www.youtube.com/watch?v=G4NhBc5NDLI&list=PLAd2mrCj0qqA&index=1,2026-04-20,"Circuit Paul Ricard, Lime Rock, Sugar Hill, Miami","GTP, Formula GP, Formula GP, Formula GP"
3,Masseo,Delux,45,"18,15,12,0",4,"IN QUESTE GHSBR CORSE, SONO VERAMENTE SCARSO: iRacing Arcade 🏎️ [ilMasseo]",G4NhBc5NDLI,https://www.youtube.com/watch?v=G4NhBc5NDLI&list=PLAd2mrCj0qqA&index=1,2026-04-20,"Circuit Paul Ricard, Lime Rock, Sugar Hill, Miami","GTP, Formula GP, Formula GP, Formula GP"
4,Rohn,Gabbo,61,"18,18,25",3,"RITORNANO LE SDROGO CORSE su iRACING ARCADE! E' SUCCESSO DI TUTTO! w/ROHN, DELUX, GABBO e MOLLU 🏎️",MYA1idbGz3Y,https://www.youtube.com/watch?v=MYA1idbGz3Y&list=PLAd2mrCj0qqA&index=4,2026-09-15,"Misano,Monza,Monza Lungo","Mercedes 190 DTM,EuroTruck, Formula Fangio"
4,Rohn,Rohn,55,"25,15,15",3,"RITORNANO LE SDROGO CORSE su iRACING ARCADE! E' SUCCESSO DI TUTTO! w/ROHN, DELUX, GABBO e MOLLU 🏎️",MYA1idbGz3Y,https://www.youtube.com/watch?v=MYA1idbGz3Y&list=PLAd2mrCj0qqA&index=4,2026-09-15,"Misano,Monza,Monza Lungo","Mercedes 190 DTM,EuroTruck, Formula Fangio"
4,Rohn,Delux,49,"12,25,12",3,"RITORNANO LE SDROGO CORSE su iRACING ARCADE! E' SUCCESSO DI TUTTO! w/ROHN, DELUX, GABBO e MOLLU 🏎️",MYA1idbGz3Y,https://www.youtube.com/watch?v=MYA1idbGz3Y&list=PLAd2mrCj0qqA&index=4,2026-09-15,"Misano,Monza,Monza Lungo","Mercedes 190 DTM,EuroTruck, Formula Fangio"
4,Rohn,Mollu,45,"15,12,18",3,"RITORNANO LE SDROGO CORSE su iRACING ARCADE! E' SUCCESSO DI TUTTO! w/ROHN, DELUX, GABBO e MOLLU 🏎️",MYA1idbGz3Y,https://www.youtube.com/watch?v=MYA1idbGz3Y&list=PLAd2mrCj0qqA&index=4,2026-09-15,"Misano,Monza,Monza Lungo","Mercedes 190 DTM,EuroTruck, Formula Fangio"
