elenco_id,video_owner,giocatore,punti_totali,punteggi_singole_gare,num_gare,titolo,video_id,link,upload_date
1,Rohn,Gabbo,50,"10,10,15,15",4,SDROGO CORSE CROCCANTI LA CADUTA DEL KING GTA V,0cKj4UURpM4,https://www.youtube.com/watch?v=0cKj4UURpM4,20170224
1,Rohn,Rohn,44,"7,15,10,12",4,SDROGO CORSE CROCCANTI LA CADUTA DEL KING GTA V,0cKj4UURpM4,https://www.youtube.com/watch?v=0cKj4UURpM4,20170224
1,Rohn,Dread,33,"15,0,8,10",4,SDROGO CORSE CROCCANTI LA CADUTA DEL KING GTA V,0cKj4UURpM4,https://www.youtube.com/watch?v=0cKj4UURpM4,20170224
1,Rohn,Marza,28,"8,8,12,0",4,SDROGO CORSE CROCCANTI LA CADUTA DEL KING GTA V,0cKj4UURpM4,https://www.youtube.com/watch?v=0cKj4UURpM4,20170224
1,Rohn,Blur,24,"12,12,0,0",4,SDROGO CORSE CROCCANTI LA CADUTA DEL KING GTA V,0cKj4UURpM4,https://www.youtube.com/watch?v=0cKj4UURpM4,20170224
2,Rohn,Gabbo,50,"15,10,15,10",4,SDROGO CORSE FURIOSE LE GARE DELLODIO GTA V,0lr_UJAR4F4,https://www.youtube.com/watch?v=0lr_UJAR4F4,20170313
2,Rohn,Rohn,45,"10,15,8,12",4,SDROGO CORSE FURIOSE LE GARE DELLODIO GTA V,0lr_UJAR4F4,https://www.youtube.com/watch?v=0lr_UJAR4F4,20170313
2,Rohn,Blur,42,"12,12,10,8",4,SDROGO CORSE FURIOSE LE GARE DELLODIO GTA V,0lr_UJAR4F4,https://www.youtube.com/watch?v=0lr_UJAR4F4,20170313
2,Rohn,Dread,27,"0,0,12,15",4,SDROGO CORSE FURIOSE LE GARE DELLODIO GTA V,0lr_UJAR4F4,https://www.youtube.com/watch?v=0lr_UJAR4F4,20170313
2,Rohn,Marza,14,"0,0,7,7",4,SDROGO CORSE FURIOSE LE GARE DELLODIO GTA V,0lr_UJAR4F4,https://www.youtube.com/watch?v=0lr_UJAR4F4,20170313
3,Rohn,Dread,48,"15,10,15,8",4,SORPASSI sui WALLRIDE la GARA PIU DIFFICILE di SEMPRE SDROGO CORSE XL GTA V,1DDBlsB326A,https://www.youtube.com/watch?v=1DDBlsB326A,20160405
